SOC,OCV_sam1_0degC,OCV_sam1_25degC,OCV_sam1_45degC,OCV_sam2_0degC,OCV_sam2_25degC,OCV_sam2_45degC
0.0,3.4506179964984347,3.251675775583494,3.26693459435916,3.4070878304569465,3.286046805038568,3.3321513095634314
0.01,3.4592770379075515,3.279706991403702,3.2952010816952106,3.4143734327342483,3.3098003694334306,3.349827619577378
0.02,3.467856369256766,3.305948093967287,3.3215630935810685,3.4221503114458933,3.332370866128504,3.36683447023886
0.03,3.476337971738525,3.3304715099678885,3.3461029150144386,3.4303511935789848,3.353787071465728,3.383180667484092
0.04,3.484703826545285,3.353349666099147,3.368902830993031,3.4389088061206268,3.3740777617870443,3.3988750172492934
0.05,3.492935914869496,3.3746549890547066,3.390045126514551,3.447755876057923,3.3932717134343937,3.4139263254706833
0.06,3.5010162179036093,3.3944599055282065,3.4096120865767086,3.4568251303779745,3.411397702749714,3.4283433980844773
0.07,3.5089267168400777,3.412836842213287,3.4276859961772104,3.4660492960678875,3.42848450607495,3.442135041026896
0.08,3.516649392871352,3.4298582258035912,3.4443491403137636,3.4753611001147613,3.4445608997520374,3.455310060234157
0.09,3.524166227189885,3.4455964829927592,3.4596838039840767,3.484693269505704,3.4596556601229214,3.4678772616424793
0.1,3.5314592009881283,3.4601240404744313,3.473772272185857,3.4939785312278167,3.47379756352954,3.4798454511880803
0.11,3.538510295458533,3.4735133249422496,3.486696829916812,3.5031496122682038,3.4870153863138347,3.4912234348071776
0.12,3.545301491793551,3.4858367630898552,3.498539762174649,3.5121392396139663,3.4993379048177453,3.5020200184359904
0.13,3.551814771185634,3.49716678161089,3.5093833539570767,3.52088014025221,3.5107938953832134,3.5122440080107378
0.14,3.5580321148272347,3.507575807198993,3.519309890261802,3.5293050411700375,3.521412134352179,3.5219042094676363
0.15,3.5639355039108036,3.5171362665478068,3.5284016560865323,3.537346669354551,3.531221398066582,3.5310094287429052
0.16,3.569506919628794,3.525920586350972,3.536740936428977,3.544937751792856,3.5402504628683653,3.5395684717727622
0.17,3.574728343173657,3.5340011933021307,3.5444100162868413,3.5520110154720546,3.548528105099467,3.5475901444934257
0.18,3.579581755737844,3.5414505140949237,3.551491180657834,3.558515983720268,3.5560831011018292,3.5550832528411145
0.19,3.5840491385138065,3.548340975422991,3.558066714539663,3.564475615942648,3.5629442272173915,3.5620566027520457
0.2,3.588112472693998,3.5547439935511207,3.564218902930035,3.5699329359410368,3.5691402656976434,3.568519000162439
0.21,3.5917594343143584,3.5607072933562245,3.5700197875520385,3.574930967995872,3.574701833954666,3.57447916671202
0.22,3.595007242613234,3.566254654731953,3.5754972297185397,3.579512736387591,3.579668834002365,3.5799558110348135
0.23,3.597906142203012,3.571408796422226,3.5806657600771326,3.5837212653966315,3.5841025156897386,3.584988132368058
0.24,3.6005133212372815,3.5761924371709553,3.5855398224440806,3.587599579303431,3.588069637421208,3.589617692740589
0.25,3.602885967870889,3.5806283096002565,3.590133860635647,3.591190702388427,3.591636957648653,3.5938860541812403
0.26,3.6050812702586823,3.584739626083821,3.594462318468094,3.5945376589320563,3.5948712348239527,3.5978347787188483
0.27,3.6071564165555077,3.5885501896845406,3.5985396397576865,3.597683473214758,3.5978392273989863,3.6015054283822465
0.28,3.6091685949162136,3.5920838398324375,3.6023802683206876,3.600669107176194,3.6006076938256335,3.6049395652002714
0.29,3.611174993495645,3.595364415957534,3.60599864797336,3.6035177696873153,3.6032433925557745,3.6081787512017565
0.3,3.6132328004486522,3.598415861011061,3.6094092225319656,3.6062536652024866,3.605813071541016,3.6112645484155372
0.31,3.615395665175976,3.601265448738606,3.6126298245970223,3.6089028899749263,3.6083788285537866,3.61423983424004
0.32,3.617694716226607,3.603944416430226,3.615683869485813,3.6114915402578527,3.610983661075334,3.6171412587925977
0.33,3.6201308674406865,3.6064842326484925,3.618592239257905,3.6140457123044856,3.6136333512392724,3.619984094214286
0.34,3.6226997101691834,3.6089163659559755,3.6213757517440053,3.6165915023680415,3.6163228086236288,3.622781037561932
0.35000000000000003,3.6253968357630675,3.6112722849152443,3.6240552247748137,3.6191550067017393,3.619046939802554,3.6255447858923655
0.36,3.6282178355733086,3.613583458088869,3.6266514761810367,3.6217623215587977,3.621800651350201,3.6282880362624157
0.37,3.6311583009508768,3.615880436920298,3.6291853237933758,3.624439543186223,3.624578849840721,3.631023485728913
